,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
923,30,male,single,2,rent,4,skilled employee / official,4 years,7 years,1,Low,0,2 lac,12,new vehicle,2002000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
924,55,male,divorced/separated,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,24,FF&E,6872000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,High Risk
925,46,male,single,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,0,12,new vehicle,697000,4,car or other,0,0,2,all loans at this bank paid back duly,High Risk
926,21,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,18,FF&E,1049000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
927,39,male,single,2,for free,4,skilled employee / official,4 years,7 years,1,Low,0,0,48,used vehicle,10297000,4,car or other,0,0,3,existing loans paid back duly till now,High Risk
928,58,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,30,electronic equipment,1867000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
929,43,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,12,new vehicle,1344000,4,real estate,0,0,2,delay in paying off loans in the past,Low Risk
930,24,male,single,1,own,1,unskilled - resident,0 year,1 year,0,Low,0,0,24,FF&E,1747000,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,Low Risk
931,22,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,2 lac,9,electronic equipment,1670000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
932,30,male,single,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,0,9,new vehicle,1224000,3,real estate,0,0,2,critical/pending loans at other banks,Low Risk
933,42,male,single,2,own,4,skilled employee / official,7 years,4 years,1,High,0,0,12,electronic equipment,522000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
934,23,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,0,12,electronic equipment,1498000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
935,30,male,single,1,own,3,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Medium,0,2 lac,30,electronic equipment,1919000,4,car or other,0,0,2,delay in paying off loans in the past,High Risk
936,28,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,1,Low,2 lac,0,9,electronic equipment,745000,3,real estate,0,0,1,existing loans paid back duly till now,High Risk
937,30,male,married/widowed,1,rent,3,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,2 lac,6,electronic equipment,2063000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
938,42,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,60,education,6288000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
939,46,male,single,2,own,4,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,24,used vehicle,6842000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
940,45,male,single,2,own,3,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,12,new vehicle,3527000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
941,31,male,single,2,own,2,unskilled - resident,1 year,4 years,0,Low,0,0,10,new vehicle,1546000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
942,31,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,24,FF&E,929000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
943,42,male,single,2,own,1,unskilled - resident,4 years,7 years,1,Low,0,0,4,new vehicle,1455000,2,real estate,0,0,3,critical/pending loans at other banks,Low Risk
944,46,female,divorced/separated/married,1,rent,1,skilled employee / official,0 year,1 year,1,Low,0,0,15,FF&E,1845000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,Low Risk
945,30,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,High,0,2 lac,48,new vehicle,8358000,1,car or other,0,0,2,no loans taken/all loans paid back duly,Low Risk
946,30,male,single,2,for free,4,skilled employee / official,0 year,1 year,1,High,0,0,24,FF&E,3349000,4,car or other,0,0,1,all loans at this bank paid back duly,High Risk
947,38,male,single,1,own,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,12,new vehicle,2859000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
948,43,male,married/widowed,2,own,1,unskilled - resident,0 year,1 year,1,Low,0,0,18,FF&E,1533000,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,High Risk
949,31,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Medium,0,0,24,electronic equipment,3621000,2,car or other,0,0,2,existing loans paid back duly till now,High Risk
950,40,male,married/widowed,2,own,3,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,2 lac,18,business,3590000,3,car or other,0,0,3,critical/pending loans at other banks,Low Risk
951,24,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,36,business,2145000,2,car or other,0,0,2,delay in paying off loans in the past,High Risk
952,28,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,High,0,2 lac,24,used vehicle,4113000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
953,26,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,36,FF&E,10974000,4,car or other,0,0,2,existing loans paid back duly till now,High Risk
954,29,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,1893000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,Low Risk
955,57,female,divorced/separated/married,1,rent,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Very high,0,0,24,electronic equipment,1231000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
956,49,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,2 lac,0,30,electronic equipment,3656000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
957,37,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,2 lac,9,electronic equipment,1154000,2,real estate,0,0,3,critical/pending loans at other banks,Low Risk
958,45,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,28,new vehicle,4006000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
959,30,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Medium,0,2 lac,24,FF&E,3069000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
960,30,male,married/widowed,1,rent,2,skilled employee / official,7 years,4 years,1,Low,0,0,6,electronic equipment,1740000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
961,47,male,divorced/separated,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,21,new vehicle,2353000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
962,29,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,15,new vehicle,3556000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
963,35,male,single,1,own,2,skilled employee / official,7 years,4 years,1,High,0,0,24,electronic equipment,2397000,3,car or other,0,0,2,existing loans paid back duly till now,High Risk
964,22,male,married/widowed,1,own,1,unskilled - resident,0 year,1 year,1,Low,0,2 lac,6,repair costs,454000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
965,26,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,2 lac,30,electronic equipment,1715000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
966,23,male,single,1,own,2,unskilled - resident,1 year,4 years,1,High,0,2 lac,27,electronic equipment,2520000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
967,54,female,divorced/separated/married,1,rent,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,15,electronic equipment,3568000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
968,29,male,married/widowed,1,rent,4,skilled employee / official,4 years,7 years,1,Low,0,0,42,electronic equipment,7166000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
969,40,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,11,new vehicle,3939000,1,real estate,0,0,2,critical/pending loans at other banks,Low Risk
970,22,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,15,repair costs,1514000,4,real estate,0,1,1,existing loans paid back duly till now,Low Risk
971,43,male,single,2,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,24,new vehicle,7393000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
972,29,female,divorced/separated/married,1,rent,4,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,0,24,new vehicle,1193000,1,car or other,1,0,2,all loans at this bank paid back duly,High Risk
973,36,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,60,business,7297000,4,car or other,1,0,1,existing loans paid back duly till now,High Risk
974,33,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,30,electronic equipment,2831000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
975,57,female,divorced/separated/married,1,own,3,unskilled - resident,1 year,4 years,1,High,2 lac,0,24,electronic equipment,1258000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
976,64,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,2 lac,6,electronic equipment,753000,2,real estate,0,1,1,existing loans paid back duly till now,Low Risk
977,42,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,2 lac,18,business,2427000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
978,47,male,single,2,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,24,new vehicle,2538000,4,car or other,0,0,2,delay in paying off loans in the past,High Risk
979,25,male,married/widowed,1,rent,2,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,15,new vehicle,1264000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,High Risk
980,49,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,2 lac,30,FF&E,8386000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,High Risk
981,33,male,single,1,rent,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,48,business,4844000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
982,28,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Medium,2 lac,0,21,new vehicle,2923000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
983,26,male,single,2,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,36,used vehicle,8229000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
984,30,male,single,1,own,2,unskilled - resident,4 years,7 years,1,Low,0,0,24,FF&E,2028000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
985,25,female,divorced/separated/married,1,rent,3,skilled employee / official,1 year,4 years,1,Low,0,0,15,FF&E,1433000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
986,33,male,divorced/separated,1,own,1,skilled employee / official,0 year,1 year,1,Low,2 lac,0,42,business,6289000,2,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,Low Risk
987,64,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,0 year,1,Medium,0,0,13,electronic equipment,1409000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
988,29,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,24,used vehicle,6579000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
989,48,male,single,1,own,2,unskilled - resident,7 years,4 years,1,Low,0,2 lac,24,electronic equipment,1743000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
990,37,male,single,2,own,1,unskilled - resident,0 year,1 year,1,Low,0,0,12,education,3565000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
991,34,male,single,2,own,4,unskilled - resident,7 years,4 years,1,Medium,0,0,15,electronic equipment,1569000,4,car or other,0,0,1,all loans at this bank paid back duly,Low Risk
992,23,male,married/widowed,1,rent,4,unskilled - resident,4 years,7 years,1,Low,0,0,18,electronic equipment,1936000,2,car or other,0,0,2,existing loans paid back duly till now,Low Risk
993,30,male,single,1,own,3,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,36,FF&E,3959000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
